String name, String context, X20(...) / XE(S) / V20, X18RS / X14(...) / T14 / V15, All other radios
RB_CH6_A,,"ץורע םרז 6"
RB_CH7_A,,"ץורע םרז 7"
RB_CH8_A,,"ץורע םרז 8"
RB_CH9_A,,"ץורע םרז 9"
GASSUIT_TEMP1,,"GASS פמט 1"
GASSUIT_TEMP2,,"GASS פמט 2"
GASSUIT_SPEED,,"GASS דלס"
GASSUIT_RES_VOL,,"GASS רתונ חפנ"
GASSUIT_RES_PERC,,"GASS % רתונ"
GASSUIT_FLOW,,"GASS המירז"
GASSUIT_MAX_FLOW,,"GASS תילמיסקמ המירז"
GASSUIT_AVG_FLOW,,"GASS תעצוממ המירז"
BEC_VOLTAGE,,"חתמ BEC"
BEC_CURRENT,,"םרז BEC"
POWER_900M,,"קפסה 900 הגמ"
OK,,"רושיא"
FLAP,,"ףדמ"
EDITABLE_FLAP,,"Flap"
AIRBRAKE,,"ריוא רוצעמ"
EDITABLE_AIRBRAKE,,"Airbrake"
FILE,,"ץבוק"
FLASH_SPORT,,"ךרד בורצ S.port"
PLAY_VALUE,,"ךרע תארקה"
CATEGORY,,"הירוגטק"
MEMBER,,"תושי"
ANALOGS,,"םיגולנא"
SWITCHES_POSITIONS,,"םיקספמ ימוקימ"
TRIMS_POSITIONS,,"םיזזקמ ימוקימ"
CONST_VALUE,,"םיעובק םיכרע"
SLIDER_LEFT,,"לאמש רדיילס"
EDITABLE_SLIDER_LEFT,,"Slider left"
SLIDER_RIGHT,,"ןימי רדיילס"
EDITABLE_SLIDER_RIGHT,,"Slider right"
RIGHT_HORIZONTAL,,"יקפוא ינמי"
TRIM_RIGHT_HORIZONTAL_LEFT,,"זזקמ RHL"
TRIM_RIGHT_HORIZONTAL_RIGHT,,"זזקמ RHR"
RIGHT_VERTICAL,,"יכנא ינמי"
TRIM_RIGHT_VERTICAL_UP,,"זזקמ RVU"
TRIM_RIGHT_VERTICAL_DOWN,,"זזקמ RVD"
LEFT_VERTICAL,,"יכנא ילאמש"
TRIM_LEFT_VERTICAL_UP,,"זזקמ LVU"
TRIM_LEFT_VERTICAL_DOWN,,"זזקמ LVD"
LEFT_HORIZONTAL,,"יקפוא ילאמש"
TRIM_LEFT_HORIZONTAL_LEFT,,"זזקמ LHL"
TRIM_LEFT_HORIZONTAL_RIGHT,,"זזקמ LHR"
TRIM_T5_LEFT,,"T5L"
TRIM_T5_RIGHT,,"T5R"
TRIM_T6_LEFT,,"T6L"
TRIM_T6_RIGHT,,"T6R"
TRIM_T5_DOWN,,"T5D"
TRIM_T5_UP,,"T5U"
TRIM_T6_DOWN,,"T6D"
TRIM_T6_UP,,"T6U"
DIFFERENTIAL,,"לאיצנרפיד"
SLOW,,"טאל"
MULTIPLY,,"לפכה"
WEIGHT_UP,,"הלעמל לקשמ"
WEIGHT_DOWN,,"הטמל לקשמ"
OUTPUT,,"אצומ"
CLOSE,,"רוגס"
FLASHING,,"ברוצ..."
RESET_DEVICE,,"רישכמ לוחתיא..."
LOW_BATTERY,,"! הכומנ וידר תללוס"
VOLTAGE_CALIBRATION,,"חתמ לויכ"
STARTING_MODEL_WIZARD,,"לדומ תינב ליחתמ..."
RADIO_DATA_LOAD,,"וידר עדימ ןעוט"
DEFAULT_SYSTEM_SETTINGS_RESTORED,,"ושמשוה לדחמ תרירב תכרעמ ירטמרפ .ןוסחא תלקת"
FLIGHT_MODE_SHORT,,"FM"
PREFLIGHT_WARNING,,"הסיט ינפל תורהזא"
NEW_MODEL,,"שדח לדומ"
STARTING_CALIBRATION,,"לויכ ליחתמ..."
NO_SD_CARD_WARNING,,"ןורכז סיטרכ ןיא !הרהזא"
ADD_CURVE_ERROR,,"! הלשכנ המוקע תפסוה"
STEP,,"דעצ"
AILERON,,"תנזאמ"
ELEVON,,"ןובלא"
EDITABLE_AILERON,,"Aileron"
EDITABLE_FLAPS,,"Flaps"
SPACE_WITH_CHANNEL,," ץורע"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,,"ץורע לש תורדגהב %s ץורע לש תודגה ףילחהל ךנוצרבש חוטב התא םאה %s?"
INPUT,,"טלק"
ELE_TO_AIL,,"תונזאמל הבוג"
EDITABLE_ELE_TO_AIL,,"Ele->Ail"
EDITABLE_ELEVATORS,,"Elevators"
EDITABLE_RUDDERS,,"Rudders"
THR_CURVE,,"תרעצמ ףרג"
PITCH_CURVE,,"ץטיפ ףרג'"
THROTTLE_CUT,,"עונמ יוביכ"
AIL_TO_RUD,,"ןוויכ <= תנזאמ"
EDITABLE_AIL_TO_RUD,,"Ail->Rud"
ELE_TO_CAMBER,,"רבמק <= הבוג"
EDITABLE_ELE_TO_CAMBER,,"Ele->Camber"
RUD_TO_AIL,,"תונזאמ  <= ןוויכ"
EDITABLE_RUD_TO_AIL,,"Rud->Ail"
RUD_TO_ELE,,"הבוג <= ןוויכ"
EDITABLE_RUD_TO_ELE,,"Rud->Ele"
AIL_TO_FLAPS,,"םיפדמ <= תונזאמ"
EDITABLE_AIL_TO_FLAPS,,"Ail->Flaps"
FLAPS_TO_ELE,,"הבוג <= םיפדמ"
EDITABLE_FLAPS_TO_ELE,,"Flaps->Ele"
FREE_MIX,,"ישפוח רסקימ"
EDITABLE_FREE_MIX,,"Free Mix"
EDITABLE_OFFSET,,"Offset"
SNAP_ROLL,,"לור פאנס"
EDITABLE_SNAP_ROLL,,"Snap Roll"
TEST_MIX,,"הקידב רסקימ"
EDITABLE_TEST_MIX,,"Test Mix"
DELAY_UP,,"הלעמל הייהשה"
DELAY_MID,,"עצמא הייהשה"
DELAY_DOWN,,"הטמל הייהשה"
NO_DELAY,,"הייהשה אלל"
V_TAIL,,"בנז V"
DATA_REFUSED,,"ברוסמ עדימ"
DEVICE_NOT_RESPONDING,,"ביגמ אל רישכמ"
NO_OUTPUT,,"אצומ ןיא"
WEIGHT_RATES,,"םיבצק / לקשמ"
OTHERWISE,,"תרחא"
AUTO,,"יטמוטוא"
TRIM_STEP_FINE,,"ןידע"
TRIM_STEP_COARSE,,"סג"
TRIM_STEP_EXPONENTIAL,,"ילאיצננופסקא"
TRIM_STEP_EXTRA_FINE,,"דחוימב ןידע"
TRIM_STEP_MEDIUM,,"ינוניב"
TRIM_STEP_CUSTOM,,"תישיא םאתומ"
SCREENSHOT,,"ךסמ םוליצ"
SILENT,,"טקש"
ALARMS_ONLY,,"דבלב תוארתה"
OFTEN,,"תובורק םיתיעל"
ALWAYS,,"דימת"
NEVER,,"אל םלועל"
WHEN_TELEMETRY_STREAMING,,"תרדשמ הירטמלטהשכ"
VOICE1,,"לוק 1 - ישאר"
VOICE2,,"לוק 2"
VOICE3,,"לוק 3"
NEGATIVE,,"ילילש"
POSITIVE,,"יבויח"
THROTTLE_HOLD,,"תרעצמ תקזחה"
TRIGGER_VALUE,,"הלעפה ךרע"
IDLE_OUTPUT_VALUE,,"קרס אצומ ךרע"
LOW_POSITION_TRIM,,"ךומנ םוקימ זוזיק"
AND,,"ו"
OR,,"וא"
XOR,,"XOR"
SENSORS,,"םינשייח"
RECEIVERS,,"םיטלקמ"
SERVOS,,"םיאוברס"
FLIGHT_SAFETY,,"הסיט תוחיטב"
VARIOMETER,,"רטמוירו"
ALARMS,,"תוארתה"
SENSOR,,"ןשייח"
RX_BATT,,"טלקמ חתמ"
RX_CURRENT,,"טלקמ םרז"
ALTITUDE,,"הבוג"
VSPEED,,"תיכנא תוריהמ"
SELECT_LANGUAGE,,"הפש רחב"
ONCE,,"תחא םעפ"
FLIGHT_DATA,,"הסיט עדימ"
ALL_TIMERS,,"םירמייטה לכ"
WHOLE_TELEMETRY,,"המלש הירטמלט"
REPEAT,,"רוזח"
WAV_FILE,,"לוק ץבוק"
BUTTERFLY,,"יילפרטב"
EDITABLE_BUTTERFLY,,"Butterfly"
CAMBER,,"רבמק"
EDITABLE_CAMBER,,"Camber"
PITCH_TO_RUD,,"ןוויכל 'ץטיפ"
EDITABLE_PITCH_TO_RUD,,"Pitch->Rud"
MISSING_BASIC_MIX,,"רסח יסיסב רסקימ"
MISSING_ENOUGH_CHANNEL,,"םינימז םיצורע קיפסמ ןיא"
NOT_SUIT_FOR_THIS_MODEL,,"ךלש לדומל םיאתמ אל הזה רסקימה"
THR_TO_ELE,,"הבוגל תרעצמ"
EDITABLE_THR_TO_ELE,,"Thr->Ele"
THR_TO_RUD,,"ןוויכל תרעצמ"
EDITABLE_THR_TO_RUD,,"Thr->Rud"
TEMPERATURE,,"הרוטרפמט"
DATA_RATE,,"םינותנ בצק"
GPS,,"GPS"
GAS_SUITE,,"טיווס זאג"
FLOW_RESET,,"המירז סופיא"
CDI_OFF_SPEED_LIMIT,,"התצה תוריהמ לבגמ"
FLOW_PULSE,,"המירז סלופ"
AUTO_RESET,,"יטמוטוא טסיר"
RESET_RESIDUAL_VOLUME,,"ירויש חפנ ספא"
RESET_MAX_FLOW,,"תילמיסקמ המירז ספא"
RESET_AVERAGE_FLOW,,"תעצוממ המירז ספא"
VOLUME_ALARM,,"עמש תמצוע תארתה"
MAX_FLOW_ALARM,,"תילמיסקמ המירז תארתה"
OVER_SPEED_ALARM,,"רתי תוריהמ תארתה"
FLOW_TRIGGER,,"המירז רגירט"
FACTORY_SETTING,,"לעפמ תורדגה"
OVER_TEMP1_ALARM,,"רתי פמט תארתה 1"
OVER_TEMP2_ALARM,,"רתי פמט תארתה 2"
TEMPERATURE_UNIT,,"פמט תולעמ'"
AUTO_SAVE,,"תיטמוטור הרימש"
GPS_POSITION_DATA_RATE,,"םוקימ םינותנ בצק GPS"
GPS_ALTITUDE_DATA_RATE,,"הבוג םינותנ בצק GPS"
GPS_SPEED_DATA_RATE,,"תוריהמ םינותנ בצק GPS"
GPS_COURSE_DATA_RATE,,"ןוויכ םינותנ בצק GPS"
GPS_TIME_DATA_RATE,,"ןמז םינותנ בצק GPS"
EW,,"EW"
NS,,"NS"
DEFAULT_FLIGHT_MODE,,"לדחמ תרירב הסיט בצמ"
SKIP_ON_STARTUP,,"הקלדה תעב גלד"
LOW_VALUE_WARNING,,"ךומנ ךרע תארתה"
CRITICAL_VALUE,,"יטירק ךרע"
UPGRADE_MODULE,,"גורדש לודומ"
AUTHENTICATION_FAILURE,,"תומיאב לשכ"
MODULE_NEEDS_UPGRADE,,"לודומה תא גרדשל שי"
CLEAR,,"הקנ"
MIX_SWITCH_DESCRIPTION,,"רסקימה יוביכ/הלעפהל גתמב רחב"
MIX_WEIGHT_DESCRIPTION,,"רסקימה תאיציב ךרעה תא עובקל ידכב רוקמה לע תלעפומ %ב הלפכמ"
MIX_CURVE_DESCRIPTION,,"יחכונה רסקימל המוקעב רחב"
MIX_DIFFERENTIAL_DESCRIPTION,,"םיצורעל לאיצנרפידה תומכ תא רחב"
MIX_OUTPUT_DESCRIPTION,,""יחכונה רסקימה י\ע עפשויש ץורעב רחב""""
MIX_INPUT_DESCRIPTION,,"יחכונה רסקימה לע הטילש רוקמב רחב"
MIX_OPERATION_DESCRIPTION,,""ףלחה וא לפכה ,ףסוה :רסקימל היצקנופ גוסב רחב""
MIX_REVERSE_DESCRIPTION,,"הטילש ןוויכ ךופה"
MIX_OFFSET_DESCRIPTION,,"זכרמהמ טסיהה תומכ תא רחב"
MIX_WEIGHTUP_DESCRIPTION,,"הלעמ העונתה תומכ תא רחב"
MIX_WEIGHTDOWN_DESCRIPTION,,"הטמ העונתה תומכ תא רחב"
MIX_SPEEDUP_DESCRIPTION,,"בחר בכמות להעלאת מהירות"
MIX_SPEEDDOWN_DESCRIPTION,,"תוריהמ תדרוהל תומכב רחב"
MIX_LOWPOSTRIM_DESCRIPTION,,"דבלב זוזיק לש ןותחת בצמ רשפא"
HELI_PITCH,,"דורלע"
EDITABLE_HELI_PITCH,,"Pitch"
HELI_GYRO,,"ורי'ג"
EDITABLE_HELI_GYRO,,"Gyro"
MISSING_THROTTLE,,"ךלש לדומב תרדגומ תרעצמ ןיא"
SIX_POSITIONS_SWITCH,,"םיבצמ-6 קספמ"
GYRO_X_AXIS,,"ריצ ורי'ג X"
GYRO_Y_AXIS,,"ריצ ורי'ג Y"
GYRO_LEFT,,"ג'הלאמש ורי"
GYRO_RIGHT,,"ג'הנימי ורי"
GYRO_UP,,"ג'הלעמל ורי"
GYRO_DOWN,,"ג'הטמל ורי"
AILERON_LETTER,,"A"
RUDDER_LETTER,,"R"
ELEVATOR_LETTER,,"E"
THROTTLE_LETTER,,"T"
NOT,,"ךופיה"
STICKY,,"יקיטס"
EDGE,,"הצק"
MIDDLE,,"יעצמא"
NO_CHECK,,"הקידב ןיא"
CUSTOM,,"תישיא םאתומ"
HOLD,,"קזחה"
NO_PULSES,,"םיסלופ אלל"
NOT_SET,,"רדגומ אל"
NO_ENGINE,,"עונמ אלל"
NO_FLAPS,,"םיפדמ אלל"
NO_RUDDERS,,"ןוויג יאגה אלל"
NO_ELEVATORS,,"הבוג יאגה אלל"
NO_AILERONS,,"תונזאמ אלל"
CHANNELS_1,,"ץורע 1"
CHANNELS_2,,"םיצורע 2"
CHANNELS_3,,"םיצורע 3"
CHANNELS_4,,"םיצורע 4"
BEEP,,"ףצפצ"
IN_RANGE,,"חווטב"
REPLACE,,"ףלחה"
USE_A_SOURCE,,"רוקמב שמתשה"
CONVERT_TO_VALUE,,"ךרעל ךופה"
SPECIAL,,"דחוימ"
MAXIMUM,,"םומויסקמ"
MINIMUM,,"םומינימ"
MOMENTARY,,"גתמ"
TWO_POS,,"2-םיבצמ"
THREE_POS,,"3-םיבצמ"
GYRO_CALIBRATION_PLACE_LEVEL,,"םויסב תחתמ רותפכה לע ץחלו ןזואמב טלשה תא חנה"
GYRO_CALIBRATION_LEFT,,"םויסב תחתמ רותפכה לע ץחלו לאמשל טלשה תא הטה"
GYRO_CALIBRATION_RIGHT,,"םויסב תחתמ רותפכה לע ץחלו ןימיל טלשה תא הטה"
GYRO_CALIBRATION_NOSE_UP,,"םויסב תחתמ רותפכה לע ץחלו הלעמל ףא טלשה תא הטה"
GYRO_CALIBRATION_NOSE_DOWN,,"םויסל תחתמ רותפכה לע ץחלו הטמל ףא טלשה תא הטה"
DEFAULT,,"לדחמ תרירב"
STRENGTH,,"המצוע"
AM,,"AM"
PM,,"PM"
PLAY_VARIO,,"וירו ארקה"
RF_ALWAYS_OFF,,"יובכ דימת היהי רודישה - דחוימ בצמ"
STAB_FUNC,,"בוציי תייצקנופ"
RX_PROTOCOL,,"טלקמ לוקוטורפ"
NO_MAP,,"הפמ ןיא"
DIRECTION,,"ןוויכ"
CLOCKWISE,,"ןועשה ןוויכ םע"
ANTICLOCKWISE,,"ןועשה ןוויכ דגנ"
PWM_PULSE_TYPE,,"סלופ גוס PWM"
BASIC_CONFIG,,"תיסיסב היצרוגיפנוק"
RX1_MAP,,"1 טלקמ תפמ"
RX2_MAP,,"2 טלקמ תפמ"
RX3_MAP,,"3 טלקמ תפמ"
ALL_FREQUENCY,,"םירדתה לכ"
STICKS_NAME,,"םיקיטסה תומש"
CHANNELS_COUNT,,"םיצורע תומכ"
EXT,,"ינוציח"
INT,,"ימינפ"
PLACE_RECEIVER_LEVEL,,"הלעמל ןוילע דצ .ןזואמב טלקמה תא חנה"
PLACE_RECEIVER_LEVEL_REVERSE,,"הטמל ןוילע דצ .ןזואמב טלקמה תא חנה"
PLACE_RECEIVER_LEFT,,"הלעמל םיניפ .ךנואמב טלקמה תא חנה"
PLACE_RECEIVER_RIGHT,,"הטמל םיניפ ,ךנואמב טלקמה תא חנה"
PLACE_RECEIVER_FORWARD,,"ליגר בותיכ םע דצה לע טלקמה תא חנה"
PLACE_RECEIVER_BACKWARD,,"ךופה בותיכ םע דצה לע טלקמה תא חנה"
ADD_A_NEW_WEIGHT,,"+ שדח לקשמ ףסוה"
ADD_A_NEW_CURVE,,"+ השדח המוקע ףסוה"
AUDIO,,"וידוא"
VOICE,,"לוק"
VAR,,"הנתשמ"
VOLUME,,"עמש תמר"
SAVE_TO_FLASH,,"ןורכזל רומש"
SAVE_TO_FLASH_MESSAGE,,"! החלצהב ןורכזב ורמשנ תורדגהה לכ"
TIMER_GENERATOR,,"רמייט ןרצי"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,,"םייק רסקימ םושב שומישב אל %d ץורעה.\nומש תא קוחמל הצרת םאה ?"
EDIT_SSS,,"%s ךורע"
RESET_SSS,,"%s ספא"
EDITABLE_ROLL,,"Roll"
EDITABLE_PITCH,,"Pitch"
EDITABLE_YAW,,"Yaw"
OPTIONS_3DOTS,,"תויורשפא..."
QUESTION_COPY_CHANNEL_NAME,,"ץורעל רדגומ םש ןיא. \nץורעל רסקימהמ םשה תא קיתעהל הצרת םאה?"
FLY_BAR_LESS,,"סל רביילפ"
WING_RUD_ELE_AIL,,"תנזאמ הבוג ןוויכ ףנכ"
WING_FLYING,,"הסט ףנכ / תונזאמ אתלד ףנכ"
WING_VTAIL_AIL,,"בנז ףנכ V תונזאמ"
LEVEL,,"ןזואמ"
LEVEL_REVERSED,,"ךופה ןזואמ"
UPRIGHT,,"הלעמ יפלכ"
UPRIGHT_REVERSED,,"ךופה הלעמ יפלכ"
WING_TYPE,,"ףנכ גוס"
MOUNTING_TYPE,,"הנקתה גוס"
SXR_ENABLE,,"SXR לעפומ"
AIL_INVERTED,,"תנזאמ ךופיה"
AIL2_INVERTED,,"2 תנזאמ ךופיה"
ELE_INVERTED,,"הבוג הגה ךופיה"
ELE2_INVERTED,,"2 הבוג הגה ךופיה"
RUD_INVERTED,,"ןוויכ הגה ךופיה"
AUX1_ENABLE,,"AUX1 רושפיא"
AUX2_ENABLE,,"AUX2 רושפיא"
QUICK_MODE,,"טושפ בצמ"
SELF_CHECK,,"םיקיטס דומיל"
STAB_GAIN_OF_AIL,,"תונזאמב בוציי לש םיזוחא"
STAB_GAIN_OF_ELE,,"הבוג הגהב בוציי לש םיזוחא"
STAB_GAIN_OF_RUD,,"ןוויכ הגהב בוציי לש םיזוחא"
AUTO_LEVEL_GAIN_OF_AIL,,"תונזאמב יטמוטוא ןוקית לש םיזוחא"
AUTO_LEVEL_GAIN_OF_ELE,,"הבוג הגהב יטמוטוא ןוקית לש םיזוחא"
HOVER_GAIN_OF_ELE,,"ףוחירל הבוג ןייג"
HOVER_GAIN_OF_RUD,,"ףוחירל ןוויכ ןייג"
KNIFE_EDGE_GAIN_OF_AIL,,"'גדא ףיינל תונזאמ ןיג"
KNIFE_EDGE_GAIN_OF_RUD,,"'גדא ףיינל ןוויכ ןייג"
AUTO_LEVEL_OFFSET_OF_AIL,,"בוצייל תונזאמ טספוא תיוז"
AUTO_LEVEL_OFFSET_OF_ELE,,"בוצייל הבוג טספוא תיוז"
HOVER_OFFSET_ANGLE_OF_ELE,,"הבוג הגה ףוחיר טסיה תיוז"
HOVER_OFFSET_ANGLE_OF_RUD,,"ןוויכ הגה ףוחיר טסיה תיוז"
KNIFE_EDGE_OFFSET_OF_AIL,,"הבוג הגה 'גדא ףיינ טסיה תיוז"
KNIFE_EDGE_OFFSET_OF_RUD,,"ןוויכ הגה 'גדא ףיינ טסיה תיוז"
OUTPUT_VOLTAGE,,"אצומ חתמ"
LIPO_VOLTAGE,,"Lipo Voltage"
RB_10_20,,"RB 10/20"
ALTITUDE_DATA_RATE,,"הבוג עדימ בצק"
VARIO_DATA_RATE,,"רטמוירו עדימ בצק"
CURRENT_DATA_RATE,,"םרז עדימ בצק"
VOLTAGE_DATA_RATE,,"חתמ עדימ בצק"
RPM,,"RPM"
POLES_COUNT,,"םיבטק רפסמ"
NEED_FIRMWARE_UPDATE,,"החשוק ןוכדע שרדנ"
SYSTEM_VALUE,,"תכרעמ ךרע"
GPS_CLOCK,,"ןועש GPS"
RACING_MODE_ACTIVE,,"ליעפ ץורימ בצמ."
RACING_MODE_IS_UNSUPPORTED,,"ךמתנ אל ץורימ בצמ."
POTS_SLIDERS,,"תולגלג / םירטמויצנטופ"
STICKS_POTS_SLIDERS,,"םירדיילס / תולגלג / םיקיטס"
WRITE_INTERVAL,,"ןמז חוורמ תעיבק"
TX_BATT,,"רדשמ תללוס"
AVERAGE,,"עצוממ"
TOTALIZE,,"המיכס"
CELL,,"את"
CONSUMPTION,,"הכירצ"
EDITABLE_CONSUMPTION,,"Consumption"
EDITABLE_PERCENT,,"Percent"
DISTANCE,,"קחרמ"
EDITABLE_DISTANCE,,"Distance"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,,"↑↓%sלש סלופ %s לש סלופ %s ו "
RISING_EDGE_OF_SSS_DURING_SSS,,"%s ו ↑לש ףס %s"
FALLING_EDGE_OF_SSS_DURING_SSS,,"↓לש ףס %s ךלהמב %s"
FALLING_EDGE_OF_SSS,,"↓%sלש ףס"
RISING_EDGE_OF_SSS,,"↓%לש ףס "
STALL,,"תורקדזה"
EDITABLE_SRV_DDD_CURR,,"SRV%d curr"
EDITABLE_SRV_DDD_VOLT,,"SRV%d volt"
EDITABLE_SRV_DDD_TEMP,,"SRV%d temp"
CONDITION,,"יאנת"
TIMER_LOGS,,"רמייט לש םיגול"
SAVE_TO_SD,,"ןורכז סיטרכל הרימש"
CLEAR_LOGS,,"םיגול הקנ"
TITLE,,"תרתוכ"
LOWEST,,"רתויב ךומנה"
COUNT,,"הריפס"
HIGHEST,,"רתויב הובג"
BLADES,,"םיבהל"
MAINGEAR_TEETH,,"ישאר ש\"גג םייניש"
PINION_TEETH,,"ןויניפ םייניש"
GEAR,,"תרוסמת"
PROPELLER,,"ףחדמ"
FLIGHT_VALUE,,"הסיט ךרע"
CURRENT_FLIGHT_MODE,,"יחכונ הסיט בצמ"
NO_DESTINATION,,"דעי אלל"
ENT_LONG,,"ךורא ENT"
RX_STILL_ON_TURN_OFF_TRANSMITTER,,"? רדשמה תא תובכל םאה .קלוד ןיידע טלקמ"
CONFIRM_RESET_SENSOR,,"? ךישמהל ךנוצרבש חוטב התא םאה .ספואי הז ןשייח לש ךרעה"
LATITUDE,,"בחור וק"
LONGITUDE,,"ךרוא וק"
GPS_MAP,,"GPS תפמ"
MAP,,"הפמ"
INTERNAL_GPS,,"ימינפ GPS"
RAM_AVAILABLE,,"ןורכז RAM ןימז"
CLOCK,,"ןועש"
TRIP,,"פירט"
SYSTEM_EVENT,,"תכרעמ עוריא"
RSSI_LOW,,"Rssi ךומנ"
TRAINER_ACTIVE,,"ליעפ רניירט"
MULTIPLIER,,"לפכמ"
VERTICAL,,"יכנא"
HORIZONTAL,,"יקפוא"
TOTAL,,"כהס"
CELLS,,"םיאת"
MULTI_LIPO,,"ופיל יטלומ"
LIPO,,"ופיל"
LINE_CHART,,"וק םישרת"
LOG_PERIOD,,"גול רוזחמ"
RESUME,,"ךשמה"
PAUSE,,"הקספה"
AUTO_RANGE,,"הנתשמ חווט"
LOCK,,"לוענ"
Xx2POS,,"{HARDWARE_FUNCTION_SWITCHES} x 2-םיבצמ"
XPOS_WITH_OFF,,"{HARDWARE_FUNCTION_SWITCHES}יוביכ םע םיבצמ-"
XPOS,,"{HARDWARE_FUNCTION_SWITCHES}םיבצמ-"
2xXPOS,,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-םיבצמ"
GLOBAL,,"ילאבולג"
_2DOTS,," :"
SUMMARY,,"םוכיס"
CONFIRM_STOP_USING_CURVE,,"? תאז המוקעב שמתשהל קיספהל הצרתש חוטב ךנה םאה"
CONFIRM_STOP_USING_RATE,,"? הז בצקב שמתשהל קיספהל הצרתש חוטב ךנה םאה"
PATTERN,,"תינבת"
ROLL_ANGLE,,"לוגלג תיוז"
PITCH_ANGLE,,"דורלע תיוז"
HYDRAULIC_PRESSURE,,"ילוארדיה ץחל"
IGNORE_TRAINER_INPUT,,"רניירט תסינכמ םלעתה"
FULL_RANGE,,"אלמ חווט"
IGNORE_RANGE,,"חווטהמ םלעתה"
HALF_RANGE,,"חווט יצח"
LAST_POSITION,,"ןורחא םוקימ"
SLEEP_BRIGHTNESS,,"הניש בצמב תוריהב"
TOP_LCD_SLEEP,,"ןוילע ךסמ הניש"
VIEW_PER_CHANNEL,,"ץורע רפ הגוצת"
VIEW_TABLE,,"הלבט תגוצת"
GENERAL,,"יללכ"
RX_STILL_ON_TURN_OFF_RF,,"?ךישמהל ךנוצרבש חוטב םאה .קלוד ןיידע טלקמה"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,,"םילנויצקנופה םיקספמה ימוקימ לכ תא ןעט","טען את כל מיקומי מפסק פונק"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,,"?ךישמהל ךנוצרבש חוטב התא םאה .םילנויצקנופה םיקספמה לכ תא סורדת וז הלועפ"
STORAGE_LOCATION,,"ןוסחא םוקימ"
RADIO,,"וידר"
MODELS,,"םילדומ"
USER_BITMAPS,,"שמתשמ תונומת"
SCRIPTS,,"םיטירסת"
LOGS,,"םיגול"
SCREENSHOTS,,"ךסמ ימוליצ"
PRESSURE,,"ץחל"
COLOR,,"עבצ"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,,""ץורעב םישמתמש םיסקימ ןיא %s, םיצורעה םש תא קוחמל םאה?""
CHANNEL_SBUS_VALUE_LIMIT_WARNING,,"ל םימות םניא םישדחה ץורעה יכרע-SBUS/Redundancyךישמהל ךנוצרבש חוטב התא םאה ת?"
EDITABLE_POWER,,"Power"
VOLTAGE,,"חתמ"
SAVE_TO_FILE,,"ץבוקל הרימש"
FLASH_VIDEO_COMPONENT,,"ואדיו ביכר בורצ"
RX_BAT_VOLTAGE,,"טלקמ תללוס חתמ"
RX_BAT_2_VOLTAGE,,"הינש טלקמ תללוס חתמ"
EXT_ADC_VOLTAGE,,"ADC חתמ"
BOARD_CURRENT,,"חול םרז"
POWER_ON_RESET,,"הקלדהב טסיר"
PIN_RESET,,"ןיפ טסיר"
WAKE_UP_RESET,,"תוררועתהב טסיר"
WATCHDOG_RESET,,"גוד'צטאוו טסיר"
LOCKUP_RESET,,"הליענב טסיר"
BROWN_DOWN_DET_RESET,,"ןואד ןוארב טסיר יוליג"
RX_RESET_CASE,,"טלקמל טסיר תביס"
EDITABLE_CUSTOM,,"Custom"
OPERATION_ASSIGN,,"דמצה (=)"
OPERATION_ADD,,"ףסוה(+)"
OPERATION_SUBTRACT,,"רסחה(-)"
OPERATION_MULTIPLY,,"לפכה(x)"
OPERATION_DIVIDE,,"קלח(/)"
SQRT,,"יעוביר שרוש"
REPURPOSE,,"שדחמ שומיש"
SENSOR_CONFLICT_WARNING,,"םינשייח תושגנתה תרהזא"
NIGHTLY_BUILD_NOT_FOR_FLYING,,""תסרג Nightly, הסיטל אל!""
READING_FILE,,"ץבוק ארוק ..."
NOT_ENOUGH_MEMORY,,"ןורכיז קיפסמ ןיא"
CLEAN_LOGS,,"םיגול יוקינ"
CONFIRM_CLEAN_LOGS,,"ה יצבק לכ תא קחמת וז הלועפ?.csv הייקיתב. ךישמהל םאה?"
CLEANING_LOGS,,"םיגול הקנמ ..."
PAUSE_CONDITION,,"היהשה יאנת"
RESET_SETTINGS,,"תורדגה סופיא"
SWAP_CHANNELS,,"םיצורע תפלחה"
CONFIRM_RESET_SETTINGS,,"לדחמה תרירבל וספואי תורדגהה.\nךישמהל םאה?"
CONFIRM_SWITCH_EXTERNAL_MODULE,,"ינוציחה לודומב שומיש השענ תעכ. קספוי אוה.\nךישמהל םאה?"
CONFIRM_SWITCH_TRAINER,,"בצמ Trainer ינוציחה לודומב תעכ שמתשמ. קספוי אוה.\nךישמהל םאה?"
COMPETITION_OPTION,,"תורחת (RSSI דבלב הללוסו)","תחרות (RSSI / סוללה)"
CONFIRM_BLUETOOTH_USED_BY_SSS,,"Bluetooth ידי לע שומישב תעכ אצמנ %s. קספוי אוה.\nךישמהל םאה?"
BOTH_MODULES,,"םילודומה ינש"
